,RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Spain,France,Germany
0,551,15806307,Trevisano,720,Spain,0,38,5,114051.97,2,0,1,107577.29,0,1,0,0
1,6897,15709621,Martin,682,France,1,54,4,62397.41,1,1,0,113088.6,1,0,1,0
2,4588,15619340,Palmer,672,France,1,31,5,119903.67,1,1,1,132925.17,0,0,1,0
3,291,15620746,Napolitani,592,Spain,1,40,4,104257.86,1,1,0,110857.33,0,1,0,0
4,1673,15646372,Yao,753,Spain,0,42,5,120387.73,1,0,1,126378.57,0,1,0,0
5,648,15649129,McGregor,575,France,1,42,5,104472.9,1,1,1,71641.38,0,0,1,0
6,6113,15729557,Alekseeva,572,France,0,37,6,135715.66,1,1,0,115928.95,0,0,1,0
7,8957,15579112,Fanucci,753,Germany,1,34,6,124281.61,1,1,0,89136.06,0,0,0,0
8,1678,15680895,Rutherford,546,France,0,46,3,62397.41,2,1,1,79809.09,0,0,1,0
9,5202,15580935,Booth,657,France,0,45,4,141238.54,2,0,0,95281.51,0,0,1,0
10,4868,15738150,Nkemdilim,617,Spain,0,35,4,62397.41,2,1,1,132607.99,0,1,0,0
11,4786,15566495,Young,508,France,1,41,3,62397.41,2,1,1,134048.88,0,0,1,0
12,954,15591628,Fanucci,699,Germany,0,38,6,143156.6,1,1,0,70638.91,0,0,0,0
13,5914,15782100,Thompson,542,Spain,0,38,5,62397.41,2,1,0,86374.92,0,1,0,0
14,9889,15626143,Price,712,Spain,1,47,4,103516.59,1,1,0,127281.65,1,1,0,0
15,4429,15717770,Atkins,594,Spain,0,41,5,130358.39,1,1,1,109357.38,0,1,0,0
16,7745,15748752,Lu,630,France,1,52,6,87082.35,1,1,0,75300.29,0,0,1,0
17,9078,15721658,Davidson,753,France,0,37,5,128739.93,2,1,1,133456.24,0,0,1,0
18,5341,15773709,Martin,674,Germany,0,64,4,131016.4,1,0,0,132033.75,0,0,0,0
19,2708,15771573,Kenenna,519,Germany,0,42,6,119493.33,1,0,0,62594.12,0,0,0,0
20,5289,15712849,Bitter,702,France,1,40,3,62397.41,2,0,0,118800.93,0,0,1,0
21,4899,15718531,Williams,731,France,0,50,6,62397.41,2,0,0,124566.5,0,0,1,0
22,5208,15694566,Rubensohn,688,France,0,49,6,62397.41,2,1,0,105593.41,0,0,1,0
23,2249,15747174,Bazhenov,689,Spain,0,50,5,62397.41,2,0,1,61806.45,0,1,0,0
24,9533,15586425,Ferguson,617,Spain,0,44,7,137863.18,1,0,0,60463.96,0,1,0,0
25,5642,15650488,Parsons,651,France,0,40,4,131344.81,1,1,1,73348.44,0,0,1,0
26,4127,15760244,Munro,682,Spain,0,43,5,62397.41,1,1,1,97934.43,0,1,0,0
27,6383,15663770,Robinson,584,France,0,39,3,118977.14,1,0,0,127881.98,0,0,1,0
28,7106,15604355,Shaw,618,Germany,1,37,3,118877.17,2,1,1,113242.58,0,0,0,0
29,340,15812241,Han,650,Germany,1,43,3,112689.4,2,1,0,103910.3,0,0,0,0
30,5444,15592773,Douglas,661,Germany,0,38,5,113914.85,1,0,0,102672.46,0,0,0,0
31,521,15795640,Stephenson,649,France,0,39,4,134417.53,1,1,0,85780.07,0,0,1,0
32,8771,15663650,Gidney,587,Spain,1,57,4,136793.94,1,1,1,89328.43,0,1,0,0
33,3366,15698285,Garmon,578,France,0,39,5,62397.41,1,0,0,89207.61,0,0,1,0
34,1133,15798749,Fontaine,652,France,0,32,6,62397.41,2,1,1,105200.8,0,0,1,0
35,3830,15689341,Chiedozie,631,Germany,1,42,6,135385.72,1,1,0,125123.17,0,0,0,0
36,7741,15753679,O'Callaghan,574,Germany,1,35,4,138926.85,1,0,0,84809.87,0,0,0,0
37,8854,15616859,Salter,650,Germany,0,41,5,98772.93,2,1,0,73192.05,0,0,0,0
38,8443,15791321,Lappin,722,France,0,65,6,97789.4,1,1,1,73016.82,0,0,1,0
